"Plot Title: JR_NH12"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10946908, SEN S/N: 10946908)","RH, % (LGR S/N: 10946908, SEN S/N: 10946908)","Host Connected (LGR S/N: 10946908)","Stopped (LGR S/N: 10946908)","End Of File (LGR S/N: 10946908)"
348,06/13/22 03:08:06 AM,16.418,85.600,,,
349,06/13/22 04:08:06 AM,16.156,85.512,,,
350,06/13/22 05:08:06 AM,15.894,86.749,,,
351,06/13/22 06:08:06 AM,16.108,84.304,,,
352,06/13/22 07:08:06 AM,16.728,81.228,,,
353,06/13/22 08:08:06 AM,17.228,81.836,,,
354,06/13/22 09:08:06 AM,18.631,79.857,,,
355,06/13/22 10:08:06 AM,20.201,77.644,,,
356,06/13/22 11:08:06 AM,21.226,76.483,,,
357,06/13/22 12:08:06 PM,21.728,75.317,,,
358,06/13/22 01:08:06 PM,22.015,76.182,,,
359,06/13/22 02:08:06 PM,22.685,75.827,,,
360,06/13/22 03:08:06 PM,23.237,75.676,,,
361,06/13/22 04:08:06 PM,23.717,74.900,,,
362,06/13/22 05:08:06 PM,24.079,74.125,,,
363,06/13/22 06:08:06 PM,24.272,74.279,,,
364,06/13/22 07:08:06 PM,23.573,76.613,,,
365,06/13/22 08:08:06 PM,22.877,77.653,,,
366,06/13/22 09:08:06 PM,21.776,78.741,,,
367,06/13/22 10:08:06 PM,19.654,82.344,,,
368,06/13/22 11:08:06 PM,18.441,84.315,,,
369,06/14/22 12:08:06 AM,17.537,84.521,,,
370,06/14/22 01:08:06 AM,16.990,85.515,,,
371,06/14/22 02:08:06 AM,16.847,84.910,,,
372,06/14/22 03:08:06 AM,16.466,85.203,,,
373,06/14/22 04:08:06 AM,16.204,85.360,,,
374,06/14/22 05:08:06 AM,15.942,85.679,,,
375,06/14/22 06:08:06 AM,16.132,84.200,,,
376,06/14/22 07:08:06 AM,16.728,81.172,,,
377,06/14/22 08:08:06 AM,17.252,81.731,,,
378,06/14/22 09:08:06 AM,18.679,79.389,,,
379,06/14/22 10:08:06 AM,20.249,77.256,,,
380,06/14/22 11:08:06 AM,21.203,76.650,,,
381,06/14/22 12:08:06 PM,21.704,75.716,,,
382,06/14/22 01:08:06 PM,23.309,67.686,,,
383,06/14/22 02:08:06 PM,22.613,78.287,,,
384,06/14/22 03:08:06 PM,23.213,77.405,,,
385,06/14/22 04:08:06 PM,23.766,75.637,,,
386,06/14/22 05:08:06 PM,24.055,74.588,,,
387,06/14/22 06:08:06 PM,24.320,74.172,,,
388,06/14/22 07:08:06 PM,23.669,76.372,,,
389,06/14/22 08:08:06 PM,22.949,77.265,,,
390,06/14/22 09:08:06 PM,21.799,78.860,,,
391,06/14/22 10:08:06 PM,19.630,83.145,,,
392,06/14/22 11:08:06 PM,18.465,84.568,,,
393,06/15/22 12:08:06 AM,17.537,84.768,,,
394,06/15/22 01:08:06 AM,17.061,85.477,,,
395,06/15/22 02:08:06 AM,16.847,84.855,,,
396,06/15/22 03:08:06 AM,16.537,85.220,,,
397,06/15/22 04:08:06 AM,16.180,85.463,,,
398,06/15/22 05:08:06 AM,15.942,86.085,,,
399,06/15/22 06:08:06 AM,16.180,84.102,,,
400,06/15/22 07:08:06 AM,16.799,80.911,,,
401,06/15/22 08:08:06 AM,17.347,81.474,,,
402,06/15/22 09:08:06 AM,18.750,79.320,,,
403,06/15/22 10:08:06 AM,20.392,76.628,,,
404,06/15/22 11:08:06 AM,21.274,76.435,,,
405,06/15/22 12:08:06 PM,22.039,73.407,,,
406,06/15/22 01:08:06 PM,22.254,74.901,,,
407,06/15/22 02:08:06 PM,22.877,74.734,,,
408,06/15/22 03:08:06 PM,23.453,74.528,,,
409,06/15/22 04:08:06 PM,23.910,74.209,,,
410,06/15/22 05:08:06 PM,24.272,73.401,,,
411,06/15/22 06:08:06 PM,24.561,72.898,,,
412,06/15/22 07:08:06 PM,23.766,75.317,,,
413,06/15/22 08:08:06 PM,23.045,76.795,,,
414,06/15/22 09:08:06 PM,21.895,77.881,,,
415,06/15/22 10:08:06 PM,19.868,81.833,,,
416,06/15/22 11:08:06 PM,18.441,84.563,,,
417,06/16/22 12:08:06 AM,17.537,84.439,,,
418,06/16/22 01:08:06 AM,17.085,85.564,,,
419,06/16/22 02:08:06 AM,16.871,84.861,,,
420,06/16/22 03:08:06 AM,16.490,85.453,,,
421,06/16/22 04:08:06 AM,16.204,85.469,,,
422,06/16/22 05:08:06 AM,15.918,85.755,,,
423,06/16/22 06:08:06 AM,16.180,83.993,,,
424,06/16/22 07:08:06 AM,16.847,80.505,,,
425,06/16/22 08:08:06 AM,17.442,80.801,,,
426,06/16/22 09:08:06 AM,18.821,78.970,,,
427,06/16/22 10:08:06 AM,20.463,76.528,,,
428,06/16/22 11:08:06 AM,21.393,76.000,,,
429,06/16/22 12:08:06 PM,22.086,73.882,,,
430,06/16/22 01:08:06 PM,22.254,75.162,,,
431,06/16/22 02:08:06 PM,22.925,74.715,,,
432,06/16/22 03:08:06 PM,23.525,74.367,,,
433,06/16/22 04:08:06 PM,23.958,74.072,,,
434,06/16/22 05:08:06 PM,24.296,73.405,,,
435,06/16/22 06:08:06 PM,24.561,73.221,,,
436,06/16/22 07:08:06 PM,23.838,75.419,,,
437,06/16/22 08:08:06 PM,23.117,76.607,,,
438,06/16/22 09:08:06 PM,21.919,78.143,,,
439,06/16/22 10:08:06 PM,19.844,81.827,,,
440,06/16/22 11:08:06 PM,18.441,84.233,,,
441,06/17/22 12:08:06 AM,17.561,84.581,,,
442,06/17/22 01:08:06 AM,17.085,85.836,,,
443,06/17/22 02:08:06 AM,16.871,85.024,,,
444,06/17/22 03:08:06 AM,16.466,85.801,,,
445,06/17/22 04:08:06 AM,16.228,85.338,,,
446,06/17/22 05:08:06 AM,15.989,86.123,,,
447,06/17/22 06:08:06 AM,16.156,84.315,,,
448,06/17/22 07:08:06 AM,16.847,80.671,,,
449,06/17/22 08:08:06 AM,17.418,81.046,,,
450,06/17/22 09:08:06 AM,18.798,79.077,,,
451,06/17/22 10:08:06 AM,20.440,76.523,,,
452,06/17/22 11:08:06 AM,21.322,76.014,,,
453,06/17/22 12:08:06 PM,22.086,73.882,,,
454,06/17/22 01:08:06 PM,22.254,75.364,,,
455,06/17/22 02:08:06 PM,22.877,75.083,,,
456,06/17/22 03:08:06 PM,23.429,75.134,,,
457,06/17/22 04:08:06 PM,23.910,74.150,,,
458,06/17/22 05:08:06 PM,24.272,73.694,,,
459,06/17/22 06:08:06 PM,24.489,73.354,,,
460,06/17/22 07:08:06 PM,23.742,75.893,,,
461,06/17/22 08:08:06 PM,23.021,77.164,,,
462,06/17/22 09:08:06 PM,21.895,78.195,,,
463,06/17/22 10:08:06 PM,19.821,82.380,,,
464,06/17/22 11:08:06 PM,18.512,84.249,,,
465,06/18/22 12:08:06 AM,17.513,84.488,,,
466,06/18/22 01:08:06 AM,17.085,85.564,,,
467,06/18/22 02:08:06 AM,16.775,85.601,,,
468,06/18/22 03:08:06 AM,16.490,85.399,,,
